trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,0,-160.41587726466824,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.2, 'e': 0.25}",25,0,-119.13180193689595,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.1111111111111111}",25,12,-42.97695390347798,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 1}",1
4,False,"{'a': 0.2, 'e': 0.0625}",30,0,-4.01945154724237,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.04}",20,12,15.95153488489969,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.2, 'e': 0.027777777777777776}",20,0,-23.155489331079533,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.02040816326530612}",20,0,20.931408139495634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.2, 'e': 0.015625}",35,0,15.958984293731575,"{0: 33, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.012345679012345678}",30,0,-39.43228320147776,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.01}",25,6,0.29082023267067814,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.008264462809917356}",25,0,-22.00465376405967,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.006944444444444444}",20,0,17.820765231409815,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.005917159763313609}",30,17,8.150996741434586,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.2, 'e': 0.00510204081632653}",20,8,17.886738551817167,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.0044444444444444444}",20,14,9.789357087348106,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.00390625}",20,0,-24.523556134845634,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.0034602076124567475}",20,0,1.780890877640441,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.0030864197530864196}",35,5,-66.56826652849337,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",1
19,False,"{'a': 0.2, 'e': 0.002770083102493075}",25,5,28.275168865932322,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': 0.0025}",25,0,22.694688472891425,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-22.38574871859251,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,18.32058665954772,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,2,24.096438420312598,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,0,30.947340342068923,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,14,18.947324522521075,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-58.990201066786156,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,7,26.640392432883296,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,13,4.277098936480885,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,24.905819120765383,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,29.8122147044811,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
